AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,target,id
4313.33,4026.15,4262.56,4112.82,4343.59,4620.51,4073.85,4626.67,4230.77,4260.51,4227.69,4294.36,4621.54,4368.21,0,19
4308.72,4026.15,4266.15,4109.23,4335.38,4625.64,4078.97,4635.9,4237.44,4269.74,4229.74,4292.31,4618.97,4357.44,0,20
4294.36,4020.51,4255.38,4105.13,4326.67,4623.59,4081.03,4633.33,4228.21,4267.18,4215.9,4277.95,4602.56,4344.62,0,21
4290.26,4014.87,4246.67,4104.1,4330.26,4626.15,4083.59,4627.69,4212.82,4251.79,4204.1,4270.26,4591.79,4340.51,0,22
4293.33,4009.74,4247.69,4101.03,4334.87,4629.74,4085.13,4623.59,4208.72,4241.54,4204.62,4273.85,4591.79,4341.54,0,23
4288.21,4006.15,4248.72,4097.44,4333.33,4624.1,4081.03,4615.9,4206.15,4239.49,4204.1,4271.79,4592.82,4338.97,0,24
4278.97,4002.05,4243.08,4091.28,4328.72,4618.97,4077.95,4612.31,4201.54,4232.31,4200.51,4265.13,4587.18,4332.82,0,25
4284.62,4002.05,4243.59,4090.77,4332.82,4620.51,4076.41,4616.92,4207.69,4231.79,4201.54,4266.15,4585.64,4337.95,0,26
4300.51,4008.72,4257.44,4101.03,4343.59,4622.05,4077.44,4618.46,4213.33,4240.0,4205.13,4272.31,4596.41,4352.31,0,27
4303.08,4013.85,4265.13,4102.56,4342.56,4622.56,4078.97,4617.95,4208.21,4239.49,4206.15,4272.82,4604.1,4351.28,0,28
4299.49,4012.82,4258.46,4096.92,4335.9,4623.08,4073.85,4616.41,4207.69,4240.51,4208.21,4270.77,4602.56,4349.74,0,29
4305.13,4015.38,4257.44,4101.54,4341.03,4625.64,4071.28,4613.33,4209.74,4247.18,4209.23,4270.77,4607.18,4358.46,0,30
4307.69,4018.46,4265.64,4106.67,4346.67,4628.72,4075.38,4611.79,4200.51,4244.1,4206.15,4270.26,4610.26,4353.33,0,31
4304.1,4016.92,4265.64,4105.13,4347.18,4626.15,4074.87,4609.23,4194.36,4237.95,4206.67,4269.23,4605.64,4349.23,0,32
4307.69,4021.03,4263.08,4107.18,4352.31,4624.62,4069.23,4607.69,4204.1,4243.08,4211.79,4274.36,4607.69,4361.03,0,33
4309.74,4026.67,4265.13,4109.23,4355.38,4627.18,4068.72,4610.77,4211.79,4249.74,4215.38,4277.44,4614.36,4363.59,0,34
4300.51,4025.13,4260.51,4107.18,4350.26,4623.59,4068.72,4611.28,4202.56,4243.59,4209.74,4272.82,4609.74,4352.82,0,35
4292.82,4017.95,4254.87,4105.64,4344.1,4619.49,4066.15,4609.74,4196.92,4231.28,4197.95,4267.18,4596.92,4349.74,0,36
4298.97,4016.92,4260.51,4105.13,4345.13,4620.51,4069.23,4616.41,4211.28,4236.41,4200.51,4273.85,4595.9,4359.49,0,37
4309.23,4021.54,4268.72,4108.21,4351.79,4620.51,4072.82,4617.95,4216.41,4253.33,4215.9,4284.62,4614.87,4369.23,0,38
4308.72,4024.1,4267.69,4111.28,4354.87,4622.05,4071.79,4610.26,4203.08,4253.85,4218.97,4283.59,4624.1,4363.59,0,39
4305.64,4024.1,4262.05,4110.26,4353.33,4626.15,4070.77,4608.72,4200.0,4240.0,4209.23,4274.87,4610.77,4351.79,0,40
4307.69,4023.59,4262.56,4108.72,4353.33,4626.15,4071.79,4611.79,4208.21,4239.49,4208.21,4270.77,4601.54,4358.97,0,41
4305.64,4020.0,4262.05,4108.72,4357.44,4628.21,4074.87,4610.77,4204.1,4244.1,4211.79,4270.26,4605.64,4362.56,0,42
4297.44,4011.28,4251.79,4104.62,4357.95,4633.85,4078.46,4609.74,4202.56,4237.44,4207.18,4269.74,4603.59,4348.72,0,43
4295.9,4005.64,4246.15,4099.49,4352.82,4629.23,4076.41,4613.33,4209.23,4234.36,4203.59,4270.26,4597.95,4347.69,0,44
4301.03,4010.26,4256.92,4100.51,4352.82,4618.97,4069.74,4614.36,4205.64,4241.03,4205.64,4272.31,4600.0,4359.49,0,45
4304.1,4016.92,4266.15,4106.15,4358.97,4617.44,4064.1,4608.21,4197.44,4247.18,4207.18,4274.36,4605.13,4356.41,0,46
4304.1,4016.92,4263.08,4107.69,4358.46,4623.59,4064.1,4600.51,4192.82,4243.08,4207.69,4273.85,4604.1,4348.21,0,47
4304.62,4014.87,4263.08,4105.64,4352.82,4625.13,4065.13,4595.9,4190.26,4231.79,4206.67,4270.26,4599.49,4356.41,0,48
4307.18,4018.46,4267.69,4106.67,4353.85,4623.59,4068.72,4598.97,4190.26,4225.64,4204.1,4272.31,4602.05,4366.67,0,49
4314.87,4021.54,4269.74,4108.21,4359.49,4626.67,4074.87,4607.18,4198.97,4235.9,4208.21,4283.59,4610.77,4370.26,0,50
4318.46,4023.59,4269.23,4110.26,4362.05,4629.74,4075.9,4609.74,4210.26,4255.9,4216.92,4287.69,4619.49,4373.33,0,51
4304.1,4019.49,4256.41,4107.18,4361.03,4631.28,4074.36,4608.21,4211.28,4258.97,4214.36,4277.95,4621.54,4364.1,0,52
4283.08,4007.18,4235.38,4101.03,4356.92,4631.28,4074.36,4608.72,4204.1,4244.62,4206.15,4268.21,4611.79,4347.18,0,53
4279.49,4007.18,4231.28,4100.51,4357.95,4630.77,4074.36,4609.23,4202.56,4237.44,4201.54,4263.08,4602.56,4345.13,0,54
4287.18,4017.44,4244.1,4106.67,4360.51,4631.28,4071.28,4609.23,4207.69,4241.54,4201.54,4262.56,4604.1,4349.23,0,55
4288.72,4015.38,4250.26,4108.21,4354.87,4634.36,4070.77,4610.26,4207.69,4246.15,4206.67,4269.74,4608.21,4350.77,0,56
4284.62,4006.15,4246.67,4104.1,4345.64,4632.82,4073.33,4611.79,4205.13,4243.08,4210.77,4273.85,4606.15,4354.36,0,57
4287.18,4006.15,4247.69,4104.1,4346.15,4624.62,4071.28,4612.82,4207.69,4237.95,4207.18,4271.79,4603.59,4353.33,0,58
4296.92,4012.82,4255.38,4108.72,4352.82,4621.54,4062.56,4612.31,4210.26,4239.49,4207.69,4273.33,4610.26,4352.82,0,59
4300.51,4013.33,4253.85,4109.74,4352.82,4625.64,4059.49,4609.74,4205.64,4245.13,4211.28,4276.41,4611.79,4362.56,0,60
4296.92,4007.69,4247.69,4106.15,4349.23,4626.67,4065.13,4606.15,4194.87,4240.51,4204.1,4273.85,4599.49,4370.77,0,61
4296.41,4005.13,4250.26,4106.15,4348.72,4627.69,4069.23,4600.0,4185.64,4228.21,4194.87,4273.33,4591.79,4366.67,0,62
4297.95,4006.67,4256.92,4107.69,4346.67,4629.74,4071.28,4598.97,4185.64,4225.13,4196.92,4273.33,4597.44,4357.44,0,63
4295.38,4003.59,4258.46,4105.13,4343.59,4623.08,4071.79,4605.13,4195.38,4231.79,4204.62,4272.31,4601.54,4353.85,0,64
4301.03,4004.62,4262.56,4110.26,4346.15,4618.97,4070.77,4607.18,4205.13,4234.36,4209.23,4276.92,4604.1,4365.13,0,65
4313.85,4015.38,4267.18,4121.03,4350.77,4626.67,4071.28,4609.23,4205.13,4233.33,4212.82,4283.59,4612.31,4374.36,0,66
4312.31,4019.49,4265.13,4122.56,4350.77,4628.72,4072.82,4617.95,4205.13,4242.05,4214.36,4284.62,4618.46,4366.67,0,67
4308.21,4018.97,4264.62,4120.0,4350.26,4625.64,4074.36,4620.51,4213.33,4253.85,4218.46,4288.21,4622.05,4363.59,0,68
4311.79,4021.54,4267.18,4121.03,4351.79,4628.21,4072.82,4612.31,4214.87,4255.9,4222.56,4290.26,4625.13,4376.41,0,69
4306.67,4016.92,4266.15,4114.36,4350.77,4630.77,4069.23,4612.31,4212.31,4256.41,4218.97,4284.1,4620.51,4382.05,0,70
4294.87,4007.18,4260.0,4105.13,4347.69,4631.79,4068.21,4620.51,4214.87,4252.31,4211.79,4280.51,4609.23,4368.72,0,71
4290.26,4001.54,4250.77,4105.13,4347.18,4633.85,4074.36,4620.0,4214.36,4241.03,4206.67,4278.46,4598.46,4351.28,0,72
4289.74,4001.03,4246.15,4104.62,4346.67,4633.85,4078.97,4614.36,4208.21,4241.03,4206.67,4274.36,4595.9,4352.31,0,73
4289.74,4006.15,4247.18,4107.18,4347.18,4632.31,4073.33,4614.36,4210.77,4249.74,4204.1,4274.87,4600.0,4356.92,0,74
4293.33,4012.82,4247.18,4118.97,4350.77,4631.28,4067.69,4616.41,4213.85,4244.62,4199.49,4272.31,4598.97,4349.23,0,75
4291.28,4013.33,4244.1,4116.92,4351.28,4629.74,4068.72,4612.82,4201.54,4236.41,4195.9,4263.59,4598.46,4344.62,0,76
4290.26,4012.31,4246.15,4108.72,4347.69,4624.62,4066.15,4604.1,4188.72,4232.82,4198.46,4262.56,4603.08,4352.82,0,77
4301.03,4018.46,4255.38,4116.41,4346.67,4617.95,4060.0,4597.95,4191.79,4229.74,4207.69,4275.38,4607.69,4357.44,0,78
4311.79,4024.1,4265.13,4124.1,4348.72,4615.9,4062.05,4598.97,4200.0,4237.44,4214.36,4283.59,4608.72,4358.97,0,79
4312.82,4023.08,4267.18,4121.03,4349.74,4619.49,4070.26,4600.0,4196.92,4249.23,4215.38,4283.59,4611.28,4369.74,0,80
4306.15,4018.46,4262.05,4118.97,4347.69,4622.56,4071.79,4597.44,4190.77,4242.56,4208.21,4277.44,4609.74,4364.62,0,81
4298.97,4009.74,4258.46,4112.82,4341.54,4628.21,4072.31,4604.1,4199.49,4229.23,4201.03,4270.26,4596.92,4344.1,0,82
4294.87,3995.38,4259.49,4103.08,4337.95,4633.33,4077.95,4617.44,4213.85,4238.97,4203.08,4273.85,4594.36,4347.69,0,83
4297.95,3995.38,4263.08,4107.69,4343.08,4626.67,4076.41,4614.36,4205.13,4250.26,4208.72,4282.05,4602.56,4366.67,0,84
4303.59,4015.38,4266.67,4119.49,4347.18,4620.0,4069.74,4605.13,4189.74,4234.87,4204.62,4279.49,4601.54,4362.05,0,85
4306.67,4028.72,4269.74,4129.23,4348.72,4624.62,4071.28,4609.74,4193.33,4224.62,4198.97,4275.9,4595.9,4353.85,0,86
4316.41,4030.26,4276.92,4136.92,4356.41,4632.31,4073.33,4607.69,4191.28,4238.46,4205.64,4285.13,4602.05,4367.18,0,87
4330.26,4040.0,4278.46,4140.0,4362.56,4631.28,4069.23,4593.33,4177.95,4245.13,4210.26,4290.77,4605.64,4373.33,0,88
4332.31,4050.26,4272.31,4139.49,4362.56,4630.77,4071.28,4591.79,4185.64,4237.44,4205.13,4285.13,4604.1,4369.74,0,89
4327.18,4046.67,4269.23,4140.51,4363.59,4636.92,4080.51,4601.54,4203.59,4236.92,4209.23,4283.08,4610.77,4372.82,0,90
4324.1,4040.0,4270.26,4137.44,4363.59,4640.51,4082.56,4613.85,4213.33,4246.15,4215.38,4286.15,4615.38,4369.74,0,91
4318.46,4040.51,4268.72,4134.87,4359.49,4637.95,4082.56,4627.69,4225.64,4254.87,4215.38,4285.13,4609.23,4358.46,0,92
4308.72,4035.9,4261.54,4134.36,4356.41,4632.82,4086.15,4632.31,4227.69,4251.79,4212.31,4278.46,4603.08,4354.36,0,93
4300.51,4026.67,4251.28,4128.21,4352.31,4627.69,4085.13,4626.67,4211.79,4241.03,4203.08,4271.79,4595.9,4354.36,0,94
4295.9,4023.08,4248.72,4123.08,4348.72,4625.13,4076.92,4615.9,4196.92,4238.46,4193.33,4271.28,4589.23,4343.08,0,95
4300.51,4027.18,4258.46,4127.69,4351.28,4625.64,4076.41,4604.62,4193.33,4241.54,4196.41,4276.92,4585.13,4335.38,0,96
4306.67,4023.59,4267.18,4128.72,4352.31,4626.67,4082.05,4604.62,4197.95,4239.49,4201.03,4282.56,4584.62,4344.62,0,97
4303.08,4010.26,4264.62,4116.92,4346.15,4624.1,4082.05,4612.31,4198.97,4231.28,4192.31,4279.49,4579.49,4348.72,0,98
4296.41,4004.62,4260.51,4106.67,4342.05,4623.08,4080.51,4612.31,4190.77,4222.05,4181.54,4270.77,4569.74,4340.51,0,99
4302.05,4009.74,4261.54,4108.72,4344.62,4623.08,4082.56,4609.23,4185.64,4222.05,4181.54,4268.21,4571.79,4342.05,0,100
4307.18,4012.82,4263.08,4110.77,4345.13,4623.08,4089.23,4611.79,4193.85,4227.18,4186.15,4277.44,4579.49,4340.51,0,101
4298.46,4006.67,4254.87,4104.1,4341.03,4629.74,4096.41,4621.03,4205.64,4226.67,4187.18,4281.54,4575.9,4328.72,0,102
4294.36,4001.03,4246.15,4099.49,4339.49,4631.79,4096.41,4626.15,4205.64,4227.69,4188.72,4275.38,4574.87,4335.9,0,103
4304.1,4008.21,4253.33,4108.21,4346.67,4624.1,4085.64,4613.85,4193.85,4237.95,4198.46,4275.38,4587.69,4356.41,0,104
4310.77,4020.0,4261.54,4111.28,4350.26,4622.56,4080.0,4598.97,4185.13,4243.08,4207.18,4281.03,4599.49,4354.36,0,105
4312.31,4024.62,4261.54,4108.21,4345.64,4628.72,4084.62,4604.1,4194.87,4244.1,4208.21,4285.64,4603.08,4349.23,0,106
4318.46,4024.62,4264.62,4115.9,4347.69,4627.18,4087.18,4614.36,4208.72,4251.79,4212.31,4290.26,4608.21,4366.67,0,107
4322.56,4027.18,4268.72,4124.62,4353.33,4626.15,4088.72,4611.28,4205.64,4255.9,4215.9,4293.85,4607.69,4370.77,0,108
4317.95,4025.13,4263.08,4117.95,4350.77,4631.28,4093.85,4609.23,4200.0,4245.13,4205.13,4291.79,4597.95,4350.77,0,109
4310.26,4017.44,4253.85,4108.72,4343.59,4628.72,4097.44,4617.44,4205.64,4232.82,4191.79,4281.54,4587.18,4341.54,0,110
4303.59,4015.38,4248.21,4108.21,4344.1,4624.1,4093.85,4616.92,4198.97,4231.79,4190.77,4273.85,4581.03,4337.95,0,111
4299.49,4018.46,4248.72,4110.26,4347.69,4626.15,4087.69,4604.62,4184.1,4236.92,4194.36,4279.49,4582.56,4330.77,0,112
4297.95,4016.92,4253.33,4110.26,4346.15,4628.21,4087.18,4603.08,4189.74,4238.97,4194.87,4285.13,4588.21,4342.05,0,113
4300.51,4016.41,4257.44,4108.21,4345.13,4629.74,4091.28,4611.79,4199.49,4238.97,4199.49,4280.0,4592.82,4359.49,0,114
4306.15,4022.05,4258.46,4109.23,4347.18,4630.26,4089.23,4611.79,4198.97,4242.05,4201.54,4276.41,4596.41,4352.82,0,115
4306.15,4022.56,4258.46,4108.21,4346.67,4626.67,4085.13,4611.28,4204.62,4247.69,4197.44,4278.46,4597.44,4345.13,0,116
4306.67,4022.56,4260.0,4106.15,4345.64,4623.08,4084.62,4614.36,4207.18,4246.67,4200.51,4280.51,4594.87,4356.92,0,117
4313.33,4028.21,4262.05,4108.72,4343.08,4623.59,4086.15,4609.23,4196.41,4237.44,4203.59,4285.64,4593.85,4365.13,0,118
4321.54,4031.79,4264.1,4110.77,4338.97,4624.62,4085.13,4607.69,4192.82,4231.79,4196.41,4287.18,4593.85,4364.62,0,119
4327.18,4037.44,4267.18,4111.28,4343.59,4627.18,4086.15,4610.26,4199.49,4235.38,4192.82,4284.1,4591.79,4372.82,0,120
4334.87,4049.74,4267.69,4116.92,4346.67,4629.23,4088.21,4603.08,4193.33,4231.79,4196.41,4281.03,4592.82,4382.05,0,121
4346.67,4059.49,4264.62,4121.03,4337.44,4622.05,4081.54,4594.87,4177.44,4214.87,4189.74,4276.41,4590.26,4381.54,0,122
4356.92,4064.62,4266.67,4121.03,4336.41,4618.97,4075.38,4596.41,4172.82,4207.69,4181.03,4275.38,4584.1,4386.67,0,123
4370.77,4072.82,4275.9,4129.74,4347.69,4626.67,4082.05,4596.92,4178.46,4217.95,4189.23,4281.54,4587.69,4399.49,0,124
4387.18,4084.62,4280.51,4139.49,4351.28,4629.23,4084.62,4595.38,4185.64,4227.69,4204.62,4289.74,4603.08,4409.74,0,125
4396.41,4090.77,4281.54,4138.97,4348.72,4623.08,4074.36,4597.44,4191.79,4235.38,4212.31,4295.9,4616.41,4421.54,0,126
4400.51,4093.33,4283.08,4137.95,4350.77,4623.59,4069.23,4597.95,4190.77,4239.49,4211.79,4301.03,4619.49,4429.23,0,127
4403.08,4095.38,4284.62,4139.49,4349.23,4629.23,4073.85,4600.51,4190.77,4232.82,4212.82,4298.97,4617.44,4420.0,0,128
4396.41,4090.26,4284.1,4138.46,4346.15,4629.74,4074.87,4609.23,4198.46,4233.33,4214.36,4296.92,4620.0,4417.44,0,129
4384.62,4077.95,4282.56,4133.85,4345.64,4627.69,4073.85,4611.79,4195.9,4240.51,4213.33,4300.0,4626.15,4423.59,0,130
4374.36,4066.67,4278.46,4126.67,4339.49,4625.64,4072.82,4604.1,4183.59,4234.87,4210.77,4294.36,4622.56,4409.23,0,131
4365.64,4058.46,4274.87,4121.03,4336.41,4621.03,4072.82,4598.46,4180.51,4223.59,4208.72,4287.18,4612.31,4395.9,0,132
4360.51,4051.79,4271.28,4120.0,4340.0,4620.51,4073.85,4596.41,4180.0,4224.62,4207.18,4289.23,4609.74,4405.64,0,133
4355.9,4049.74,4264.62,4118.97,4338.97,4621.03,4070.77,4595.9,4178.46,4228.21,4204.62,4286.15,4609.74,4403.59,0,134
4348.72,4049.23,4262.05,4117.95,4339.49,4620.51,4067.18,4596.92,4184.1,4226.15,4200.51,4277.95,4606.15,4388.21,0,135
4344.1,4047.69,4262.56,4119.49,4345.13,4625.13,4070.77,4598.46,4192.31,4224.62,4202.05,4282.56,4605.13,4391.79,0,136
4347.18,4050.26,4264.62,4121.54,4349.74,4626.15,4075.9,4601.03,4195.9,4231.79,4209.74,4292.82,4608.21,4397.95,0,137
4352.31,4050.77,4266.15,4124.62,4349.74,4623.08,4078.46,4600.0,4191.28,4233.33,4211.79,4294.36,4610.77,4395.38,0,138
4354.87,4050.26,4270.77,4126.15,4349.74,4624.1,4081.54,4599.49,4193.33,4232.31,4210.26,4294.87,4615.9,4397.95,0,139
4356.41,4052.31,4278.46,4127.69,4347.69,4624.1,4077.44,4604.1,4204.62,4246.67,4217.95,4298.46,4622.05,4395.9,0,140
4354.36,4051.28,4280.0,4127.18,4344.1,4618.46,4072.31,4606.15,4204.62,4255.9,4222.05,4295.38,4621.54,4390.77,0,141
4349.74,4045.64,4275.9,4122.56,4342.05,4617.95,4081.03,4605.13,4193.85,4242.05,4214.87,4291.79,4615.9,4394.36,0,142
4349.23,4043.08,4277.44,4121.03,4342.05,4621.54,4088.72,4604.62,4187.69,4232.82,4208.21,4294.87,4612.31,4394.87,0,143
4347.18,4042.05,4282.56,4123.59,4340.0,4616.92,4081.54,4602.56,4185.13,4231.79,4206.15,4297.95,4605.64,4384.1,0,144
4340.0,4035.9,4275.9,4120.0,4339.49,4618.97,4075.9,4602.56,4184.1,4225.13,4203.59,4290.26,4601.03,4382.05,0,145
4338.97,4032.31,4267.69,4116.92,4346.15,4626.15,4077.95,4605.13,4187.18,4225.64,4206.67,4287.69,4607.69,4388.72,0,146
4341.03,4035.38,4270.77,4120.51,4345.64,4625.64,4077.44,4603.08,4189.74,4231.28,4208.21,4290.77,4612.31,4385.64,0,147
4333.85,4032.82,4271.28,4121.54,4335.9,4618.46,4072.82,4598.46,4189.23,4229.23,4203.08,4287.69,4604.1,4376.41,0,148
4324.62,4024.62,4265.13,4119.49,4335.9,4615.9,4068.72,4597.95,4184.62,4226.67,4201.54,4285.13,4596.41,4376.92,0,149
4325.64,4025.13,4263.59,4116.92,4340.0,4616.41,4065.13,4593.33,4181.54,4230.77,4204.62,4288.21,4601.54,4384.1,0,150
4326.67,4027.18,4265.64,4113.85,4340.0,4616.41,4063.08,4590.77,4192.31,4238.97,4204.62,4290.77,4607.69,4377.95,0,151
4327.18,4024.62,4270.77,4116.41,4342.56,4617.95,4066.15,4600.51,4202.56,4244.62,4203.08,4288.72,4600.51,4369.74,0,152
4333.33,4026.67,4278.46,4123.08,4344.1,4621.54,4069.74,4602.56,4188.21,4235.9,4202.05,4288.72,4591.28,4373.85,0,153
4340.51,4031.79,4282.05,4123.59,4342.05,4621.03,4072.31,4589.74,4171.28,4225.13,4204.62,4293.33,4598.97,4381.03,0,154
4343.08,4032.82,4280.51,4122.56,4346.15,4620.0,4074.36,4588.21,4181.03,4228.21,4212.82,4297.44,4617.95,4390.77,0,155
4341.03,4032.31,4279.49,4123.59,4350.26,4623.08,4073.33,4598.97,4197.44,4234.87,4216.92,4297.95,4626.15,4397.95,0,156
4335.38,4029.74,4279.49,4122.56,4347.18,4626.67,4070.77,4603.59,4196.92,4237.95,4213.33,4294.87,4623.59,4394.36,0,157
4330.77,4024.62,4275.9,4120.0,4344.62,4627.18,4070.77,4601.54,4196.41,4240.51,4209.74,4292.82,4621.54,4386.15,0,158
4335.9,4022.05,4275.38,4120.51,4345.13,4624.1,4070.26,4602.05,4203.08,4243.08,4210.77,4290.26,4621.54,4384.62,0,159
4339.49,4025.64,4278.46,4124.1,4342.56,4617.95,4065.13,4600.51,4202.05,4246.67,4214.87,4291.79,4621.54,4387.18,0,160
4331.79,4024.1,4273.33,4123.59,4338.97,4615.9,4063.59,4596.92,4190.77,4245.64,4212.31,4295.38,4617.44,4382.05,0,161
4329.74,4021.54,4265.64,4120.51,4343.59,4620.51,4071.28,4600.0,4190.77,4243.08,4209.23,4290.77,4612.82,4379.49,0,162
4336.41,4029.74,4269.23,4123.59,4349.23,4625.64,4075.9,4608.72,4205.64,4251.79,4218.46,4285.64,4620.0,4389.23,0,163
4338.97,4033.85,4276.92,4128.72,4346.15,4627.18,4073.33,4611.79,4204.62,4256.41,4223.08,4290.77,4627.18,4393.33,0,164
4331.28,4024.1,4273.85,4125.64,4341.54,4625.13,4074.36,4608.21,4193.33,4246.15,4213.33,4295.38,4620.0,4383.59,0,165
4323.59,4019.49,4267.18,4121.54,4344.1,4621.03,4077.95,4607.18,4198.46,4247.18,4211.28,4294.36,4614.87,4378.97,0,166
4320.0,4019.49,4265.13,4121.03,4348.21,4623.08,4075.38,4608.72,4202.56,4259.49,4215.38,4291.28,4620.0,4375.9,0,167
4316.92,4012.82,4263.59,4117.44,4346.67,4627.18,4069.74,4611.28,4200.0,4257.44,4210.77,4286.15,4616.92,4368.72,0,168
4317.44,4009.74,4263.59,4115.38,4344.1,4628.21,4073.85,4616.92,4212.31,4254.87,4208.72,4287.69,4609.23,4374.36,0,169
4318.97,4012.31,4263.59,4117.95,4343.08,4629.74,4081.03,4616.92,4214.87,4260.51,4213.85,4292.31,4612.82,4381.54,0,170
4318.46,4009.74,4264.62,4118.46,4342.56,4627.69,4075.9,4610.26,4200.0,4256.41,4215.9,4288.72,4618.97,4377.44,0,171
4315.38,4008.21,4264.1,4117.95,4342.05,4622.56,4071.79,4610.26,4205.13,4252.31,4213.33,4283.59,4614.87,4372.31,0,172
4317.44,4009.74,4264.62,4119.49,4342.56,4625.13,4080.0,4613.33,4216.41,4258.97,4211.79,4287.69,4614.36,4380.0,0,173
4324.1,4008.72,4274.36,4122.05,4346.15,4630.77,4084.1,4610.77,4206.15,4264.62,4214.36,4296.41,4618.97,4387.18,0,174
4324.62,4008.21,4280.0,4117.95,4344.62,4627.18,4078.46,4606.15,4190.77,4260.51,4214.36,4299.49,4616.92,4377.44,0,175
4322.05,4009.23,4271.79,4114.36,4336.92,4618.97,4072.31,4605.13,4189.74,4254.36,4209.74,4292.82,4610.26,4373.33,0,176
4321.54,4007.18,4265.64,4117.95,4334.87,4614.36,4070.26,4602.05,4195.38,4251.79,4209.74,4286.15,4609.74,4382.05,0,177
4319.49,4004.1,4266.15,4118.46,4336.92,4615.9,4071.28,4600.0,4195.9,4253.85,4211.28,4284.62,4612.31,4379.49,0,178
4313.85,4003.08,4262.56,4110.26,4335.38,4621.03,4075.38,4607.69,4200.0,4254.36,4206.15,4285.64,4609.74,4367.69,0,179
4310.26,4002.05,4262.05,4105.64,4332.31,4623.59,4080.0,4615.38,4201.54,4251.79,4202.56,4288.21,4603.59,4366.67,0,180
4312.82,4001.03,4263.59,4107.69,4333.85,4625.64,4077.95,4607.18,4192.82,4253.33,4203.59,4287.69,4600.0,4368.21,0,181
4310.77,4004.1,4254.87,4109.23,4337.44,4627.18,4073.85,4597.44,4188.21,4250.26,4200.51,4278.97,4600.0,4358.46,0,182
4304.1,4003.59,4246.15,4108.21,4336.41,4625.64,4075.38,4605.64,4196.41,4244.1,4193.33,4268.72,4594.87,4350.26,0,183
4303.08,3997.44,4248.72,4108.21,4332.82,4618.97,4075.9,4612.31,4198.97,4247.18,4192.31,4269.74,4590.77,4354.36,0,184
4305.13,3997.95,4253.33,4112.82,4331.28,4614.36,4071.28,4607.18,4193.85,4250.77,4194.87,4274.87,4596.92,4366.67,0,185
4309.23,4001.03,4257.95,4114.36,4334.36,4615.9,4070.77,4607.69,4199.49,4249.23,4198.97,4280.51,4603.08,4375.38,0,186
4313.85,4001.03,4263.59,4114.36,4335.9,4622.05,4076.41,4615.9,4206.15,4254.87,4207.69,4284.62,4608.21,4374.36,0,187
